issue_id,issue_type,source_system,source_transaction_id,related_transaction_id,transaction_date,customer_or_vendor_name,expected_amount,actual_amount,difference_amount,description,status,notes
ISSUE-2026-0011,Wrong Reference,Bank Statement,BSMN-2026-0317,INV-2026-0228,2026.07.31,Сэлэнгэ Цемент ХХК,3862000,3862000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-20260228'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
ISSUE-2026-0012,Wrong Reference,Bank Statement,BSMN-2026-0318,INV-2026-0411,2026.07.30,Мөнхбат Сервис ЖДҮ ХХК,1009000,1009000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-20260411'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
ISSUE-2026-0013,Wrong Reference,Bank Statement,BSMN-2026-0320,INV-2026-0191,2026.07.25,Сарангэрэл Трейд ЖДҮ ХХК,1267000,1267000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-2026-019'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
ISSUE-2026-0014,Wrong Reference,Bank Statement,BSMN-2026-0324,INV-2026-0049,2026.07.21,Сансар Тек ХХК,4043000,4043000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-2026-004'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
ISSUE-2026-0015,Wrong Reference,Bank Statement,BSMN-2026-0325,INV-2026-0431,2026.07.09,Их Монгол Констракшн ХК,3972000,3972000,0,Гүйлгээний утга буруу бичигдсэн тул автоматаар холбогдоогүй ('INV-20260431'),Open,Гүйлгээний утгыг гараар засварлаж холбох шаардлагатай
ISSUE-2026-0016,Duplicate Transaction,Bank Statement,BSMN-2026-0302,BSMN-2026-0301,2026.07.30,Энхбат Дизайн ЖДҮ ХХК,585000,585000,585000,INV-2026-0127-ийн төлбөр 2 удаа хийгдсэн тул давхардсан гүйлгээ илэрлээ,Open,Илүү төлөгдсөн дүнг харилцагчид буцаах эсэхийг шийдвэрлэх
ISSUE-2026-0017,Duplicate Transaction,Bank Statement,BSMN-2026-0310,BSMN-2026-0309,2026.07.29,Зост Групп ХХК,1360000,1360000,1360000,INV-2026-0029-ийн төлбөр 2 удаа хийгдсэн тул давхардсан гүйлгээ илэрлээ,Open,Илүү төлөгдсөн дүнг харилцагчид буцаах эсэхийг шийдвэрлэх
ISSUE-2026-0018,Duplicate Transaction,Bank Statement,BSMN-2026-0312,BSMN-2026-0311,2026.07.21,Ундраа Кашмир ХХК,3642000,3642000,3642000,INV-2026-0330-ийн төлбөр 2 удаа хийгдсэн тул давхардсан гүйлгээ илэрлээ,Open,Илүү төлөгдсөн дүнг харилцагчид буцаах эсэхийг шийдвэрлэх
ISSUE-2026-0019,Duplicate Transaction,Bank Statement,BSMN-2026-0314,BSMN-2026-0313,2026.07.19,Номин Апарел ХХК,1629000,1629000,1629000,INV-2026-0241-ийн төлбөр 2 удаа хийгдсэн тул давхардсан гүйлгээ илэрлээ,Open,Илүү төлөгдсөн дүнг харилцагчид буцаах эсэхийг шийдвэрлэх
ISSUE-2026-0020,Duplicate Transaction,Bank Statement,BSMN-2026-0323,BSMN-2026-0322,2026.07.05,Хас Ложистик ХХК,1114000,1114000,1114000,INV-2026-0496-ийн төлбөр 2 удаа хийгдсэн тул давхардсан гүйлгээ илэрлээ,Open,Илүү төлөгдсөн дүнг харилцагчид буцаах эсэхийг шийдвэрлэх
ISSUE-2026-0021,Missing Transaction,Accounting Ledger,INV-2026-0477,,2026.07.25,Ганзориг Ложистик ЖДҮ ХХК,954000,0,954000,Нэхэмжлэх INV-2026-0477-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.08
ISSUE-2026-0022,Missing Transaction,Accounting Ledger,INV-2026-0392,,2026.07.13,Билэг Констракшн ХХК,1925000,0,1925000,Нэхэмжлэх INV-2026-0392-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.07.27
ISSUE-2026-0023,Missing Transaction,Accounting Ledger,INV-2026-0193,,2026.07.17,Энхбат Дизайн ЖДҮ ХХК,1251000,0,1251000,Нэхэмжлэх INV-2026-0193-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.07.31
ISSUE-2026-0024,Missing Transaction,Accounting Ledger,INV-2026-0394,,2026.07.15,Мандах Инженеринг ХХК,2147000,0,2147000,Нэхэмжлэх INV-2026-0394-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.07.29
ISSUE-2026-0025,Missing Transaction,Accounting Ledger,INV-2026-0131,,2026.07.03,Сэлэнгэ Цемент ХХК,3061000,0,3061000,Нэхэмжлэх INV-2026-0131-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Escalated,Төлбөрийн хугацаа: 2026.07.17
ISSUE-2026-0026,Missing Transaction,Accounting Ledger,INV-2026-0348,,2026.07.16,Сарангэрэл Трейд ЖДҮ ХХК,1258000,0,1258000,Нэхэмжлэх INV-2026-0348-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Escalated,Төлбөрийн хугацаа: 2026.07.30
ISSUE-2026-0027,Missing Transaction,Accounting Ledger,INV-2026-0295,,2026.07.13,Ирээдүй Санхүү ББСБ,8545000,0,8545000,Нэхэмжлэх INV-2026-0295-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Escalated,Төлбөрийн хугацаа: 2026.07.27
ISSUE-2026-0028,Missing Transaction,Accounting Ledger,INV-2026-0312,,2026.07.31,Ундраа Кашмир ХХК,1713000,0,1713000,Нэхэмжлэх INV-2026-0312-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.14
ISSUE-2026-0029,Missing Transaction,Accounting Ledger,INV-2026-0300,,2026.07.21,Ганга Дистрибьюшн ХХК,1195000,0,1195000,Нэхэмжлэх INV-2026-0300-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.04
ISSUE-2026-0030,Missing Transaction,Accounting Ledger,INV-2026-0276,,2026.07.24,Дэлгэрэх Инвест ХХК,884000,0,884000,Нэхэмжлэх INV-2026-0276-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.07
ISSUE-2026-0031,Missing Transaction,Accounting Ledger,INV-2026-0391,,2026.07.19,Билэг Констракшн ХХК,2472000,0,2472000,Нэхэмжлэх INV-2026-0391-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Escalated,Төлбөрийн хугацаа: 2026.08.02
ISSUE-2026-0032,Missing Transaction,Accounting Ledger,INV-2026-0170,,2026.07.19,Ганзориг Ложистик ЖДҮ ХХК,391000,0,391000,Нэхэмжлэх INV-2026-0170-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.02
ISSUE-2026-0033,Missing Transaction,Accounting Ledger,INV-2026-0172,,2026.07.13,Дархан Металл ХХК,2499000,0,2499000,Нэхэмжлэх INV-2026-0172-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.07.27
ISSUE-2026-0034,Missing Transaction,Accounting Ledger,INV-2026-0359,,2026.07.27,Билэг Констракшн ХХК,1985000,0,1985000,Нэхэмжлэх INV-2026-0359-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.10
ISSUE-2026-0035,Missing Transaction,Accounting Ledger,INV-2026-0385,,2026.07.04,Их Монгол Констракшн ХК,12002000,0,12002000,Нэхэмжлэх INV-2026-0385-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Escalated,Төлбөрийн хугацаа: 2026.07.18
ISSUE-2026-0036,Missing Transaction,Accounting Ledger,INV-2026-0156,,2026.07.31,Улаанбаатар Билдинг ХХК,6860000,0,6860000,Нэхэмжлэх INV-2026-0156-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.14
ISSUE-2026-0037,Missing Transaction,Accounting Ledger,INV-2026-0337,,2026.07.19,Зост Групп ХХК,1483000,0,1483000,Нэхэмжлэх INV-2026-0337-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.02
ISSUE-2026-0038,Missing Transaction,Accounting Ledger,INV-2026-0174,,2026.07.27,Мөнхбат Сервис ЖДҮ ХХК,665000,0,665000,Нэхэмжлэх INV-2026-0174-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.10
ISSUE-2026-0039,Missing Transaction,Accounting Ledger,INV-2026-0242,,2026.07.28,Ундрах Инвестмент ХХК,3745000,0,3745000,Нэхэмжлэх INV-2026-0242-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.08.11
ISSUE-2026-0040,Missing Transaction,Accounting Ledger,INV-2026-0222,,2026.07.04,Алтай Трейд ХХК,16038000,0,16038000,Нэхэмжлэх INV-2026-0222-ийн төлбөр банк болон төлбөрийн системд бүртгэгдээгүй байна,Open,Төлбөрийн хугацаа: 2026.07.18
ISSUE-2026-0041,Failed Payment,Payment Gateway,PG-2026-0109,INV-2026-0292,2026.07.06,Хөгжил Кредит ББСБ,3278000,0,3278000,SocialPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0042,Failed Payment,Payment Gateway,PG-2026-0112,INV-2026-0397,2026.07.10,Шинэ Эрин Медиа ХХК,529000,0,529000,QPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0043,Failed Payment,Payment Gateway,PG-2026-0110,INV-2026-0249,2026.07.11,Ховд Ноос Ноолуур ХХК,3981000,0,3981000,QPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0044,Failed Payment,Payment Gateway,PG-2026-0113,INV-2026-0244,2026.07.12,Билэг Констракшн ХХК,2975000,0,2975000,SocialPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0045,Failed Payment,Payment Gateway,PG-2026-0111,INV-2026-0405,2026.07.13,Наран Энержи ХХК,4422000,0,4422000,SocialPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0046,Failed Payment,Payment Gateway,PG-2026-0115,INV-2026-0217,2026.07.13,Загас Мах Экспорт ХХК,2835000,0,2835000,QPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0047,Failed Payment,Payment Gateway,PG-2026-0107,INV-2026-0345,2026.07.15,Ази Пасифик Трейд ХХК,6001000,0,6001000,SocialPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0048,Failed Payment,Payment Gateway,PG-2026-0114,INV-2026-0495,2026.07.20,Туул Гол Девелопмент ХХК,9621000,0,9621000,Card-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0049,Failed Payment,Payment Gateway,PG-2026-0108,INV-2026-0375,2026.07.27,Мөнхбат Сервис ЖДҮ ХХК,972000,0,972000,QPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0050,Failed Payment,Payment Gateway,PG-2026-0106,INV-2026-0113,2026.07.30,Дархан Металл ХХК,4388000,0,4388000,QPay-р төлбөр хийхийг оролдсон боловч амжилтгүй болсон,Open,Харилцагчаас дахин төлбөр хийхийг хүсэх
ISSUE-2026-0051,Pending Payment,Payment Gateway,PG-2026-0116,INV-2026-0317,2026.07.27,Мон Строй ХХК,7198000,7198000,0,QPay-р хийсэн төлбөр баталгаажихыг хүлээж байна,Pending,Төлбөрийн системээс баталгаажуулалт хүлээгдэж байна
ISSUE-2026-0052,Pending Payment,Payment Gateway,PG-2026-0119,INV-2026-0243,2026.07.27,Мон Строй ХХК,15267000,15267000,0,QPay-р хийсэн төлбөр баталгаажихыг хүлээж байна,Pending,Төлбөрийн системээс баталгаажуулалт хүлээгдэж байна
ISSUE-2026-0053,Pending Payment,Payment Gateway,PG-2026-0120,INV-2026-0145,2026.07.28,Түмэн Констракшн ХХК,9162000,9162000,0,QPay-р хийсэн төлбөр баталгаажихыг хүлээж байна,Pending,Төлбөрийн системээс баталгаажуулалт хүлээгдэж байна
ISSUE-2026-0054,Pending Payment,Payment Gateway,PG-2026-0118,INV-2026-0039,2026.07.30,Мон Строй ХХК,4982000,4982000,0,SocialPay-р хийсэн төлбөр баталгаажихыг хүлээж байна,Pending,Төлбөрийн системээс баталгаажуулалт хүлээгдэж байна
ISSUE-2026-0055,Pending Payment,Payment Gateway,PG-2026-0117,INV-2026-0167,2026.07.31,Ази Пасифик Трейд ХХК,14763000,14763000,0,QPay-р хийсэн төлбөр баталгаажихыг хүлээж байна,Pending,Төлбөрийн системээс баталгаажуулалт хүлээгдэж байна
ISSUE-2026-0056,Duplicate Transaction,Payment Gateway,PG-2026-9608,INV-2026-0183,2026.07.28,Эрдэнэт Майнинг ХХК,4554000,4554000,4554000,INV-2026-0183-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0057,Wrong Reference,Bank Statement,BSMN-2026-9217,INV-2026-0440,2026.07.11,Улаанбаатар Билдинг ХХК,11429000,11429000,0,Гүйлгээний утга алдаатай ('INV-2026-04XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0058,Amount Difference,Payment Gateway,PG-2026-9010,INV-2026-0391,2026.07.20,Билэг Констракшн ХХК,2472000,2614000,142000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0391-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0059,Missing Transaction,Accounting Ledger,INV-2026-0333,,2026.07.10,Туул Гол Девелопмент ХХК,9660000,0,9660000,Нэхэмжлэх INV-2026-0333-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0060,Duplicate Transaction,Payment Gateway,PG-2026-9769,INV-2026-0176,2026.07.06,Соёмбо Фүүдс ХХК,3147000,3147000,3147000,INV-2026-0176-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0061,Wrong Reference,Bank Statement,BSMN-2026-9413,INV-2026-0302,2026.07.20,Эрдэнэт Майнинг ХХК,15217000,15217000,0,Гүйлгээний утга алдаатай ('INV-2026-03XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0062,Amount Difference,Payment Gateway,PG-2026-9721,INV-2026-0125,2026.07.16,Богд Уул Ресорт ХХК,1855000,1975000,120000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0125-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0063,Missing Transaction,Accounting Ledger,INV-2026-0045,,2026.07.05,Ази Пасифик Трейд ХХК,15493000,0,15493000,Нэхэмжлэх INV-2026-0045-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0064,Duplicate Transaction,Payment Gateway,PG-2026-9199,INV-2026-0499,2026.07.31,Сансар Тек ХХК,2802000,2802000,2802000,INV-2026-0499-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0065,Wrong Reference,Bank Statement,BSMN-2026-9559,INV-2026-0192,2026.07.14,Номин Апарел ХХК,3208000,3208000,0,Гүйлгээний утга алдаатай ('INV-2026-01XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0066,Amount Difference,Payment Gateway,PG-2026-9139,INV-2026-0363,2026.07.07,Ундрах Инвестмент ХХК,2259000,2217000,-42000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0363-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0067,Missing Transaction,Accounting Ledger,INV-2026-0457,,2026.07.24,Хангай Агро ХХК,2698000,0,2698000,Нэхэмжлэх INV-2026-0457-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0068,Duplicate Transaction,Payment Gateway,PG-2026-9069,INV-2026-0465,2026.07.10,Ганзориг Ложистик ЖДҮ ХХК,787000,787000,787000,INV-2026-0465-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0069,Wrong Reference,Bank Statement,BSMN-2026-9073,INV-2026-0241,2026.07.18,Номин Апарел ХХК,1629000,1629000,0,Гүйлгээний утга алдаатай ('INV-2026-02XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0070,Amount Difference,Payment Gateway,PG-2026-9073,INV-2026-0119,2026.07.11,Ариунаа Кетеринг ЖДҮ ХХК,1268000,1361000,93000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0119-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0071,Missing Transaction,Accounting Ledger,INV-2026-0228,,2026.07.27,Сэлэнгэ Цемент ХХК,3862000,0,3862000,Нэхэмжлэх INV-2026-0228-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0072,Duplicate Transaction,Payment Gateway,PG-2026-9010,INV-2026-0287,2026.07.24,Зост Групп ХХК,3722000,3722000,3722000,INV-2026-0287-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0073,Wrong Reference,Bank Statement,BSMN-2026-9192,INV-2026-0050,2026.07.04,Соёмбо Фүүдс ХХК,4352000,4352000,0,Гүйлгээний утга алдаатай ('INV-2026-00XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0074,Amount Difference,Payment Gateway,PG-2026-9622,INV-2026-0026,2026.07.25,Наран Энержи ХХК,13827000,14566000,739000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0026-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0075,Missing Transaction,Accounting Ledger,INV-2026-0360,,2026.07.27,Ундрах Инвестмент ХХК,1126000,0,1126000,Нэхэмжлэх INV-2026-0360-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0076,Duplicate Transaction,Payment Gateway,PG-2026-9031,INV-2026-0120,2026.07.02,Богд Уул Ресорт ХХК,1400000,1400000,1400000,INV-2026-0120-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0077,Wrong Reference,Bank Statement,BSMN-2026-9631,INV-2026-0229,2026.07.22,Тэнгэр Инвест ХХК,6244000,6244000,0,Гүйлгээний утга алдаатай ('INV-2026-02XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0078,Amount Difference,Payment Gateway,PG-2026-9950,INV-2026-0254,2026.07.22,Соёмбо Фүүдс ХХК,1577000,1553000,-24000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0254-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0079,Missing Transaction,Accounting Ledger,INV-2026-0184,,2026.07.13,Хангай Агро ХХК,3087000,0,3087000,Нэхэмжлэх INV-2026-0184-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0080,Duplicate Transaction,Payment Gateway,PG-2026-9647,INV-2026-0327,2026.07.22,Богд Уул Ресорт ХХК,2005000,2005000,2005000,INV-2026-0327-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0081,Wrong Reference,Bank Statement,BSMN-2026-9300,INV-2026-0415,2026.07.03,Зост Групп ХХК,1234000,1234000,0,Гүйлгээний утга алдаатай ('INV-2026-04XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0082,Amount Difference,Payment Gateway,PG-2026-9643,INV-2026-0478,2026.07.04,Ганган Трейд ХХК,277000,257000,-20000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0478-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0083,Missing Transaction,Accounting Ledger,INV-2026-0073,,2026.07.01,Ирээдүй Санхүү ББСБ,9533000,0,9533000,Нэхэмжлэх INV-2026-0073-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0084,Duplicate Transaction,Payment Gateway,PG-2026-9147,INV-2026-0322,2026.07.21,Батбаяр Констракшн ЖДҮ ХХК,1091000,1091000,1091000,INV-2026-0322-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0085,Wrong Reference,Bank Statement,BSMN-2026-9318,INV-2026-0395,2026.07.07,Зост Групп ХХК,1806000,1806000,0,Гүйлгээний утга алдаатай ('INV-2026-03XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
ISSUE-2026-0086,Amount Difference,Payment Gateway,PG-2026-9307,INV-2026-0002,2026.07.18,Оргил Логистик ХХК,1958000,2001000,43000,Шимтгэл хасагдсанаас шалтгаалж INV-2026-0002-ийн орлогын дүн зөрүүтэй,Under Review,Төлбөрийн системийн шимтгэлийн зөрүү эсэхийг шалгах
ISSUE-2026-0087,Missing Transaction,Accounting Ledger,INV-2026-0341,,2026.07.07,Дархан Металл ХХК,2852000,0,2852000,Нэхэмжлэх INV-2026-0341-тэй тохирох орлогын гүйлгээ олдсонгүй,Open,Харилцагчаас төлбөрийн баримт хүсэх
ISSUE-2026-0088,Duplicate Transaction,Payment Gateway,PG-2026-9320,INV-2026-0189,2026.07.17,Алтай Трейд ХХК,5763000,5763000,5763000,INV-2026-0189-ийн төлбөр QPay болон банкаар давхар бүртгэгдсэн,Open,Давхардсан гүйлгээг цуцлах эсэхийг шалгах
ISSUE-2026-0089,Wrong Reference,Bank Statement,BSMN-2026-9094,INV-2026-0188,2026.07.20,Мон Строй ХХК,8557000,8557000,0,Гүйлгээний утга алдаатай ('INV-2026-01XX') тул нэхэмжлэхтэй автоматаар тохирсонгүй,Open,Гүйлгээний утгыг гараар шалгах шаардлагатай
